"A2","0017331","10668a186/4","Instapper Goud Bit",8,8,0,0,"2014 Winter","35","ZWARTSUEDE",248,69.00,169.95,"21.00",1.00,"","","","","","","","","","","","",""
"A4","00177821","J2021/4","Metallic Enkell BL/H",8,1,1,0,"2014 Zomer","37","TURQUOISE",239,64.00,169.95,"21.00",2.00,"","","","","","","","","","","","",""
"A4","00177810","J2021/4","Metallic Enkell BL/H",8,1,1,0,"2014 Zomer","39 1/2","BLAUW",239,64.00,169.95,"21.00",1.00,"","","","","","","","","","","","",""
"A4","00177813","J2021/4","Metallic Enkell BL/H",8,1,1,0,"2014 Zomer","41","BLAUW",239,64.00,169.95,"21.00",1.00,"","","","","","","","","","","","",""
"A1","0017851","S2559/4","Enkell Pyth PL/H",8,1,1,0,"2014 Zomer","35","BEIGE/BR",239,89.00,239.95,"21.00",1.00,"","","","","","","","","","","","",""
"A1","0017852","S2559/4","Enkell Pyth PL/H",8,1,1,0,"2014 Zomer","36","BEIGE/BR",239,89.00,239.95,"21.00",1.00,"","","","","","","","","","","","",""
"A1","0017855","S2559/4","Enkell Pyth PL/H",8,1,1,0,"2014 Zomer","39","BEIGE/BR",239,89.00,239.95,"21.00",1.00,"","","","","","","","","","","","",""
"A1","0017912","3127/4","Runner",6,2,0,0,"2014 Zomer","40","WIT/ZILVER",97,99.00,239.95,"21.00",1.00,"","","","","","","","","","","","",""
"A1","0017926","3126/4","Runner ",6,2,0,0,"2014 Zomer","44","BL/GRIJS",97,96.00,239.95,"21.00",1.00,"","","","","","","","","","","","",""
"A2","0017926","3126/4","Runner ",6,2,0,0,"2014 Zomer","44","BL/GRIJS",97,96.00,239.95,"21.00",1.00,"","","","","","","","","","","","",""
"A2","00180227","K-Tees/4","Teenslipper",8,5,0,0,"2014 Zomer","37","TURQ LAK",265,26.00,64.95,"21.00",1.00,"","","","","","","","","","","","",""
"A4","0018063","CA1648/4","Sandaal 7/8H",8,6,0,0,"2014 Zomer","37","ROSE/WIT",269,154.00,399.95,"21.00",1.00,"","","","","","","","","","","","",""
"A1","0018094","A64/4","Espadrilles Studs",8,21,0,0,"2014 Zomer","38","PLOMO",272,45.00,109.95,"21.00",1.00,"","","","","","","","","","","","",""
"A4","0018102","CB1021/4","Enkell Pailletten",8,1,1,0,"2014 Zomer","36","GRIJS",273,69.20,179.95,"21.00",1.00,"","","","","","","","","","","","",""
"A4","0018104","CB1021/4","Enkell Pailletten",8,1,1,0,"2014 Zomer","38","GRIJS",273,69.20,179.95,"21.00",1.00,"","","","","","","","","","","","",""
