"3,19,0,0","DAMESSCHOENEN > VETERSCHOEN"
"3,20,0,0","DAMESSCHOENEN > MOONBOOT"
"3,21,0,0","DAMESSCHOENEN > ESPADRILLE"
"3,22,0,0","DAMESSCHOENEN > RUNNER"
"3,23,0,0","DAMESSCHOENEN > BOOTSCHOEN"
"3,24,0,0","DAMESSCHOENEN > KUITLAARS"
"3,25,0,0","DAMESSCHOENEN > ENKELLAARS"
"3,26,0,0","DAMESSCHOENEN > KNIELAARS"
"3,27,0,0","DAMESSCHOENEN > KAPLAARS"
"3,28,0,0","DAMESSCHOENEN > OVER DE KNIELAARS"
"3,29,0,0","DAMESSCHOENEN > BERGSCHOEN"
"4,1,0,0","KINDERSCHOENEN > MEISJES"
"4,2,0,0","KINDERSCHOENEN > JONGENS"
"4,3,0,0","KINDERSCHOENEN > ACCESOIRES"
"4,4,0,0","KINDERSCHOENEN > BABY"
"4,5,0,0","KINDERSCHOENEN > JASSEN"
"4,6,0,0","KINDERSCHOENEN > SNEAKERS"
"4,7,0,0","KINDERSCHOENEN > UNI"
"5,1,0,0","KINDERKLEDING > MEISJESKLEDING"
"5,2,0,0","KINDERKLEDING > JONGENSKLEDING"
"5,3,0,0","KINDERKLEDING > BABYKLEDING"
"5,4,0,0","KINDERKLEDING > UNISEX"
"5,5,0,0","KINDERKLEDING > ACCESSOIRES"
"6,1,0,0","HERENSCHOENEN > LAARZEN"
"6,2,0,0","HERENSCHOENEN > SNEAKERS"
"6,3,0,0","HERENSCHOENEN > SCHOENEN"
"6,4,0,0","HERENSCHOENEN > SLIPPERS"
"6,5,0,0","HERENSCHOENEN > PANTOFFELS"
"6,6,0,0","HERENSCHOENEN > SANDALEN"
"6,7,0,0","HERENSCHOENEN > INSTAPPERS"
"7,1,0,0","ACCESSOIRES > HEREN ACCESSOIRES"
"7,2,0,0","ACCESSOIRES > DAMES ACCESSOIRES"
"7,3,0,0","ACCESSOIRES > KINDER ACCESSOIRES"
"7,4,0,0","ACCESSOIRES > BABY ACCESSOIRES"
"7,5,0,0","ACCESSOIRES > ONDERHOUD ACCESSOIRES"
"8,1,0,0","DAMESSCHOENEN > LAARZEN"
"8,2,0,0","DAMESSCHOENEN > PUMPS"
"8,3,0,0","DAMESSCHOENEN > SNEAKERS"
"8,4,0,0","DAMESSCHOENEN > BALLERINA'S"
"8,5,0,0","DAMESSCHOENEN > SLIPPERS"
"8,6,0,0","DAMESSCHOENEN > SANDALEN"
"8,7,0,0","DAMESSCHOENEN > PANTOFFELS "
"8,8,0,0","DAMESSCHOENEN > INSTAPPERS"
"8,9,0,0","DAMESSCHOENEN > SCHOENEN"
"8,10,0,0","DAMESSCHOENEN > ESPADRILLES"
"9,1,0,0","KINDERSCHOENEN > JONGENSSCHOENEN"
"9,2,0,0","KINDERSCHOENEN > MEISJESSCHOENEN"
"9,3,0,0","KINDERSCHOENEN > BABYSCHOENEN"
"10,1,0,0","KINDERKLEDING > JONGENSKLEDING"
"10,2,0,0","KINDERKLEDING > MEISJESKLEDING"
"10,3,0,0","KINDERKLEDING > BABYKLEDING"
"1,1,1,0","HERENSCHOENEN > LAARZEN > KUIT"
"1,1,2,0","HERENSCHOENEN > LAARZEN > ENKEL"
"1,2,1,0","HERENSCHOENEN > SNEAKERS > VETER"
"1,2,2,0","HERENSCHOENEN > SNEAKERS > KLITTEBAND"
"1,2,3,0","HERENSCHOENEN > SNEAKERS > ENKEL"
"1,3,1,0","HERENSCHOENEN > SCHOENEN > VETER"
"1,3,2,0","HERENSCHOENEN > SCHOENEN > KLITTEBAND"
"1,4,1,0","HERENSCHOENEN > SLIPPERS > TEENSLIPPER"
"1,4,2,0","HERENSCHOENEN > SLIPPERS > RECHTE BAND"
"2,1,1,0","ACCESSOIRES > RIEM > SUEDE"
"2,1,2,0","ACCESSOIRES > RIEM > LEER"
"2,2,1,0","ACCESSOIRES > TASSEN > CROSSBODY"
"2,2,2,0","ACCESSOIRES > TASSEN > SHOPPER"
"2,2,3,0","ACCESSOIRES > TASSEN > BUIDELTAS"
"2,2,4,0","ACCESSOIRES > TASSEN > LINNENTAS"
"2,2,5,0","ACCESSOIRES > TASSEN > HOBO"
"3,1,1,0","DAMESSCHOENEN > LAARZEN > OVER DE KNIELAARS"
"3,1,2,0","DAMESSCHOENEN > LAARZEN > KNIELAARS"
"3,1,3,0","DAMESSCHOENEN > LAARZEN > KUITLAARS"
"3,1,4,0","DAMESSCHOENEN > LAARZEN > ENKELLAARS"
"3,1,5,0","DAMESSCHOENEN > LAARZEN > OMSLAG LAARS"
"3,1,6,0","DAMESSCHOENEN > LAARZEN > KAPLAARS"
"3,1,7,0","DAMESSCHOENEN > LAARZEN > VETERLAARS"
"3,1,8,0","DAMESSCHOENEN > LAARZEN > KLOMPLAARS"
"3,1,9,0","DAMESSCHOENEN > LAARZEN > RIJGLAARS"
"3,1,10,0","DAMESSCHOENEN > LAARZEN > REGENLAARS"
"3,1,11,0","DAMESSCHOENEN > LAARZEN > MOTORLAARS"
"3,2,1,0","DAMESSCHOENEN > PUMPS > H/HAK"
"3,2,2,0","DAMESSCHOENEN > PUMPS > 7/8 HAK"
"3,2,3,0","DAMESSCHOENEN > PUMPS > 3/4 HAK"
"3,2,4,0","DAMESSCHOENEN > PUMPS > OPEN TEEN HOGE HAK"
"3,2,5,0","DAMESSCHOENEN > PUMPS > OPEN TEEN 7/8 GLASHAK"
"3,2,6,0","DAMESSCHOENEN > PUMPS > OPEN TEEN 7/8 GLASHAK"
"3,2,7,0","DAMESSCHOENEN > PUMPS > 3/4 SLEEHAK"
"3,2,8,0","DAMESSCHOENEN > PUMPS > OPEN TEEN SLEEHAK"
"3,3,1,0","DAMESSCHOENEN > HOOGFRONT > HH"
"3,3,2,0","DAMESSCHOENEN > HOOGFRONT > 7/8 H"
"3,3,3,0","DAMESSCHOENEN > HOOGFRONT > 3/4 H"
"3,3,4,0","DAMESSCHOENEN > HOOGFRONT > PL /H"
"3,4,1,0","DAMESSCHOENEN > BALLERINA'S > 3/4 H"
"3,4,2,0","DAMESSCHOENEN > BALLERINA'S > PL /H"
"3,5,1,0","DAMESSCHOENEN > SNEAKERS > ENKEL"
"3,5,2,0","DAMESSCHOENEN > SNEAKERS > LAAG"
"3,6,1,0","DAMESSCHOENEN > MUIL > 7/8 HAK"
"3,6,2,0","DAMESSCHOENEN > MUIL > 3/4 HAK"
"3,6,3,0","DAMESSCHOENEN > MUIL > HOGE HAK"
"3,6,4,0","DAMESSCHOENEN > MUIL > SLEEHAK"
"3,7,1,0","DAMESSCHOENEN > SLIPPERS > 7/8 HAK"
"3,7,2,0","DAMESSCHOENEN > SLIPPERS > 3/4 HAK"
"3,7,3,0","DAMESSCHOENEN > SLIPPERS > PL /HAK"
"3,7,4,0","DAMESSCHOENEN > SLIPPERS > TEENSLIPPER"
"3,8,1,0","DAMESSCHOENEN > SANDALEN > H/HAK"
